Region,State,is_union_territory,Month,Quarter,Energy Requirement MU,Energy Availability MU,Energy_Deficit
North,Chandigarh,1,Mar,Q1,101.6,101.6,0
North,Delhi,1,Mar,Q1,2130.478,2130.279,0.199
North,Haryana,0,Mar,Q1,3911.822,3909.16,2.662
North,Himachal Pradesh,0,Mar,Q1,1025.63,1023.16,2.47
North,UTs of J&K and Ladakh,1,Mar,Q1,1725.61,1717.93,7.68
North,Punjab,0,Mar,Q1,4275.01,4259.19,15.82
North,Rajasthan,0,Mar,Q1,7541.57,7509.03,32.54
North,Uttar Pradesh,0,Mar,Q1,9619.29,9613.89,5.4
North,Uttarakhand,0,Mar,Q1,1161.761,1149.01,12.751
Central,Chhattisgarh,0,Mar,Q1,3522.615219,3519.613719,3.0015
West,Gujarat,0,Mar,Q1,11336.89609,11336.89609,0
Central,Madhya Pradesh,0,Mar,Q1,7524.602891,7496.421383,28.18150782
West,Maharashtra,0,Mar,Q1,17010.05555,17009.96633,0.08922
West,Dadra & Nagar Haveli and Daman & Diu,1,Mar,Q1,791.7707,791.7707,0
West,Goa,0,Mar,Q1,405.46282,405.46282,0
South,Andhra Pradesh,0,Mar,Q1,6711.89014,6711.89014,0
South,Telangana,0,Mar,Q1,8909.39502,8909.39502,0
South,Karnataka,0,Mar,Q1,8602.621995,8602.621995,0
South,Kerala,0,Mar,Q1,2713.099073,2713.099073,0
South,Tamil Nadu,0,Mar,Q1,10799.8363,10799.8363,0
South,Puducherry,1,Mar,Q1,263.8251642,263.8251642,0
South,Lakshadweep,1,Mar,Q1,6.01565,6.01565,0
East,Bihar,0,Mar,Q1,2882.105319,2863.953819,18.1515
East,Jharkhand,0,Mar,Q1,1106.484301,1034.630301,71.854
East,Odisha,0,Mar,Q1,3441.362624,3441.362624,0
East,West Bengal,0,Mar,Q1,4982.247482,4977.483482,4.764
Northeast,Sikkim,0,Mar,Q1,50.49075133,50.49075133,0
South,Andaman Nicobar,1,Mar,Q1,31.82,31.37,0.45
